stratification	generation script filename	generation script	release filename	genome
ancestry	GRCh38_ancestry_AFR.bed.gz	received files directly from Rajiv McCoy/Stephanie Yan (T2T)	GRCh38_ancestry_AFR.bed.gz	
ancestry	GRCh38_ancestry_AMR.bed.gz	received files directly from Rajiv McCoy/Stephanie Yan (T2T)	GRCh38_ancestry_AMR.bed.gz	
ancestry	GRCh38_ancestry_EAS.bed.gz	received files directly from Rajiv McCoy/Stephanie Yan (T2T)	GRCh38_ancestry_EAS.bed.gz	
ancestry	GRCh38_ancestry_EUR.bed.gz	received files directly from Rajiv McCoy/Stephanie Yan (T2T)	GRCh38_ancestry_EUR.bed.gz	
ancestry	GRCh38_ancestry_Neanderthal.bed.gz	received files directly from Rajiv McCoy/Stephanie Yan (T2T)	GRCh38_ancestry_Neanderthal.bed.gz	
ancestry	GRCh38_ancestry_SAS.bed.gz	received files directly from Rajiv McCoy/Stephanie Yan (T2T)	GRCh38_ancestry_SAS.bed.gz	
FunctionalRegions	GRCh38_refseq_cds_merged.bed.gz	create_GRCh38_cds_bed.Rmd	GRCh38_refseq_cds.bed.gz	
FunctionalRegions	notin_GRCh38_refseq_cds_merged.bed.gz	create_GRCh38_cds_bed.Rmd	GRCh38_notinrefseq_cds.bed.gz	
GCcontent	GRCh38_l100_gc15_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc15_slop50.bed.gz	
GCcontent	GRCh38_l100_gc15to20_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc15to20_slop50.bed.gz	
GCcontent	GRCh38_l100_gc20to25_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc20to25_slop50.bed.gz	
GCcontent	GRCh38_l100_gc25to30_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc25to30_slop50.bed.gz	
GCcontent	GRCh38_l100_gc30to55_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc30to55_slop50.bed.gz	
GCcontent	GRCh38_l100_gc55to60_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc55to60_slop50.bed.gz	
GCcontent	GRCh38_l100_gc60to65_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc60to65_slop50.bed.gz	
GCcontent	GRCh38_l100_gc65to70_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc65to70_slop50.bed.gz	
GCcontent	GRCh38_l100_gc70to75_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc70to75_slop50.bed.gz	
GCcontent	GRCh38_l100_gc75to80_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc75to80_slop50.bed.gz	
GCcontent	GRCh38_l100_gc80to85_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc80to85_slop50.bed.gz	
GCcontent	GRCh38_l100_gc85_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gc85_slop50.bed.gz	
GCcontent	GRCh38_l100_gclt25orgt65_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gclt25orgt65_slop50.bed.gz	
GCcontent	GRCh38_l100_gclt30orgt55_slop50.bed.gz	grch38_seqtk_gc.sh	GRCh38_gclt30orgt55_slop50.bed.gz	
